case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds,status,failure_reason
size500_bottleneck_seed520480812,500,bottleneck,520480812,0.4,0df1d0167dc2856a565957ec0fea2e9035bddc80d4ad19859649ef1e577be50e,"108,189","65,161",71,region_cache_patch_32,True,71,0,True,108,3,174,171,0.9827586206896551,3,0.006421659000011459,1.8888000028027818e-05,0.0014825280010700226,0.0,0.0016700319988910905,0.0095931070000006,completed,
size500_bottleneck_seed520480812,500,bottleneck,520480812,0.4,0df1d0167dc2856a565957ec0fea2e9035bddc80d4ad19859649ef1e577be50e,"108,189","65,161",71,region_cache_patch_64,True,71,0,True,128,2,158,156,0.9873417721518988,2,0.013479976000041916,1.8595999989656775e-05,0.0020634559988975524,0.0,0.0015692720010877111,0.017131300000016836,completed,
size500_bottleneck_seed520480813,500,bottleneck,520480813,0.1,6722773305b24112696a2cc8c0d5103b2f454dea64ba483c4322fd0e3294ba43,"450,33","159,468",1012,manhattan_astar,True,1012,0,True,150539,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.18989567100001636,0.18989567100001636,completed,
size500_bottleneck_seed520480813,500,bottleneck,520480813,0.1,6722773305b24112696a2cc8c0d5103b2f454dea64ba483c4322fd0e3294ba43,"450,33","159,468",1012,full_map_unet_tiebreak,True,1012,0,True,129205,1,0,0,0.0,0,0.0,0.0,0.0,0.005735424041748047,0.565831879000001,0.5715673030417491,completed,
size500_bottleneck_seed520480813,500,bottleneck,520480813,0.1,6722773305b24112696a2cc8c0d5103b2f454dea64ba483c4322fd0e3294ba43,"450,33","159,468",1012,region_cache_patch_32,True,1012,0,True,120183,422,120777,120355,0.9965059572600744,422,0.8391643919993328,0.024272804003146575,0.3138085768222808,0.0,0.5395055911752437,1.7167513640000038,completed,
size500_bottleneck_seed520480813,500,bottleneck,520480813,0.1,6722773305b24112696a2cc8c0d5103b2f454dea64ba483c4322fd0e3294ba43,"450,33","159,468",1012,region_cache_patch_64,True,1012,0,True,140072,108,141501,141393,0.9992367545105688,108,0.7098832149999907,0.03029972499825817,0.11128297615051272,0.0,0.4162897648512496,1.2677556810000112,completed,
size500_bottleneck_seed520480814,500,bottleneck,520480814,0.2,1053843634d4ce2bc314e2374ec522a5df1f6a5b92f87c3c455c4b2e7355b024,"155,187","282,160",154,manhattan_astar,True,154,0,True,3518,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004577568000001975,0.004577568000001975,completed,
size500_bottleneck_seed520480814,500,bottleneck,520480814,0.2,1053843634d4ce2bc314e2374ec522a5df1f6a5b92f87c3c455c4b2e7355b024,"155,187","282,160",154,full_map_unet_tiebreak,True,154,0,True,943,1,0,0,0.0,0,0.0,0.0,0.0,0.007841792106628418,0.004327057000011791,0.01216884910664021,completed,
size500_bottleneck_seed520480814,500,bottleneck,520480814,0.2,1053843634d4ce2bc314e2374ec522a5df1f6a5b92f87c3c455c4b2e7355b024,"155,187","282,160",154,region_cache_patch_32,True,154,0,True,190,9,232,223,0.9612068965517241,9,0.01629021899995564,2.136600019753132e-05,0.005245024055242538,0.0,0.0047453669445892506,0.02630197599998496,completed,
size500_bottleneck_seed520480814,500,bottleneck,520480814,0.2,1053843634d4ce2bc314e2374ec522a5df1f6a5b92f87c3c455c4b2e7355b024,"155,187","282,160",154,region_cache_patch_64,True,154,0,True,1275,4,1370,1366,0.997080291970803,4,0.025858943000059753,0.00012647899976059307,0.002828320026397705,0.0,0.003968595973786023,0.032782338000004074,completed,
size500_bottleneck_seed520480815,500,bottleneck,520480815,0.3,8cbbd3284dbd42a1ec58035d711dee521c1bf26944c4d1958d2a46d1a677659d,"378,376","265,209",696,manhattan_astar,True,696,0,True,107532,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13303682599999433,0.13303682599999433,completed,
size500_bottleneck_seed520480815,500,bottleneck,520480815,0.3,8cbbd3284dbd42a1ec58035d711dee521c1bf26944c4d1958d2a46d1a677659d,"378,376","265,209",696,full_map_unet_tiebreak,True,696,0,True,102635,1,0,0,0.0,0,0.0,0.0,0.0,0.006993919849395752,0.35496114599999373,0.36195506584938947,completed,
size500_bottleneck_seed520480815,500,bottleneck,520480815,0.3,8cbbd3284dbd42a1ec58035d711dee521c1bf26944c4d1958d2a46d1a677659d,"378,376","265,209",696,region_cache_patch_32,True,696,0,True,102564,369,102766,102397,0.9964093182570111,369,0.7438444619997142,0.02264844800399146,0.28946281635761256,0.0,0.4282395096386868,1.484195236000005,completed,
