map_size,structure_type,algorithm,component,completed_cases,mean_seconds,fraction_of_total
2000,open_random,region_cache_patch_64,patch_extraction,50,1.4470958704607164,0.620634051549851
2000,open_random,region_cache_patch_64,cache_lookup,50,0.054387235841859366,0.023325732055598982
500,bottleneck,full_map_unet_tiebreak,astar_search,50,0.1237622048199978,0.86467477885584
500,bottleneck,full_map_unet_tiebreak,neural_inference,50,0.019369302940368652,0.13532522114416007
500,bottleneck,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
500,bottleneck,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
500,bottleneck,manhattan_astar,astar_search,50,0.051529499600001145,1.0
500,bottleneck,manhattan_astar,neural_inference,50,0.0,0.0
500,bottleneck,manhattan_astar,patch_extraction,50,0.0,0.0
500,bottleneck,manhattan_astar,cache_lookup,50,0.0,0.0
500,bottleneck,region_cache_patch_32,astar_search,50,0.18522486754687256,0.28244628213032985
500,bottleneck,region_cache_patch_32,neural_inference,50,0.17020026641339064,0.25953552081168985
500,bottleneck,region_cache_patch_32,patch_extraction,50,0.29445490156000065,0.44900932203192545
500,bottleneck,region_cache_patch_32,cache_lookup,50,0.0059079116597376925,0.009008875026054849
500,bottleneck,region_cache_patch_64,astar_search,50,0.10428742047736544,0.26146151617204233
500,bottleneck,region_cache_patch_64,neural_inference,50,0.05274873470246792,0.13224762956388833
500,bottleneck,region_cache_patch_64,patch_extraction,50,0.23581261033999112,0.5912115032643167
500,bottleneck,region_cache_patch_64,cache_lookup,50,0.006014600700174242,0.01507935099975264
500,large_block,full_map_unet_tiebreak,astar_search,50,0.052750904780000954,0.6765897849077525
500,large_block,full_map_unet_tiebreak,neural_inference,50,0.02521495571136475,0.3234102150922476
500,large_block,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
500,large_block,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
500,large_block,manhattan_astar,astar_search,50,0.03439843807999978,1.0
500,large_block,manhattan_astar,neural_inference,50,0.0,0.0
500,large_block,manhattan_astar,patch_extraction,50,0.0,0.0
500,large_block,manhattan_astar,cache_lookup,50,0.0,0.0
500,large_block,region_cache_patch_32,astar_search,50,0.06792607526527174,0.23956549680520386
500,large_block,region_cache_patch_32,neural_inference,50,0.08931297283470631,0.31499400818812345
500,large_block,region_cache_patch_32,patch_extraction,50,0.1255069652800097,0.4426450133089213
500,large_block,region_cache_patch_32,cache_lookup,50,0.0007926270800112434,0.0027954816977514055
500,large_block,region_cache_patch_64,astar_search,50,0.039487661789983725,0.21046988736798186
500,large_block,region_cache_patch_64,neural_inference,50,0.034274754610061645,0.18268500628656403
500,large_block,region_cache_patch_64,patch_extraction,50,0.11247940691999475,0.5995170904668157
500,large_block,region_cache_patch_64,cache_lookup,50,0.001374858019956946,0.0073280158786384365
500,maze_like,full_map_unet_tiebreak,astar_search,50,5.329576000065117e-05,0.006884845854162683
500,maze_like,full_map_unet_tiebreak,neural_inference,50,0.00768772867679596,0.9931151541458373
500,maze_like,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
500,maze_like,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
500,maze_like,manhattan_astar,astar_search,50,1.698115999829497e-05,1.0
500,maze_like,manhattan_astar,neural_inference,50,0.0,0.0
500,maze_like,manhattan_astar,patch_extraction,50,0.0,0.0
500,maze_like,manhattan_astar,cache_lookup,50,0.0,0.0
