seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.4,random,6,0,2,11,manhattan,True,True,19,19,56,0.00012329099990893155,,16.224719101123597,363.3258426966292,19.061108118276575,0.9101123595505618,0.0,0.8651685393258427,0.0,0.0
0,20,0.4,random,6,0,2,11,mlp_table,True,True,19,19,50,0.0002965830008179182,,15.26287661978368,328.76448394339803,18.13186377467573,0.9044943820224719,0.0898876404494382,0.8089887640449438,0.0,1.0457634925842285
0,20,0.4,random,6,0,2,11,unet,True,True,19,19,53,0.00028300000121816993,,11.8085789017463,213.5774373454973,14.614288807379484,0.7752808988764045,0.2247191011235955,0.6797752808988764,0.05056179775280899,6.3400774002075195
1,20,0.4,random,3,14,5,17,dijkstra,True,True,5,5,19,4.283300040697213e-05,,5.185185185185185,35.74074074074074,5.978356023250935,0.9814814814814815,0.0,0.6851851851851852,0.0,0.0
1,20,0.4,random,3,14,5,17,manhattan,True,True,5,5,9,2.4541999664506875e-05,,0.5555555555555556,2.5925925925925926,1.6101529717988265,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0
1,20,0.4,random,3,14,5,17,mlp_table,True,True,5,5,6,4.837499909626786e-05,,0.8785567283630371,2.266404897843661,1.505458368020737,0.2037037037037037,0.7777777777777778,0.05555555555555555,0.0,1.8165855407714844
1,20,0.4,random,3,14,5,17,unet,True,True,5,5,8,4.983299913874362e-05,,1.8476502862241533,5.927963655089756,2.4347409831622246,0.12962962962962962,0.8703703703703703,0.0,0.2962962962962963,6.130131721496582
2,20,0.4,random,7,7,14,7,dijkstra,True,True,11,11,45,9.308399967267178e-05,,7.520408163265306,72.33673469387755,8.505100510510005,0.9897959183673469,0.0,0.7959183673469388,0.0,0.0
2,20,0.4,random,7,7,14,7,manhattan,True,True,11,11,23,5.766700087406207e-05,,1.1428571428571428,4.163265306122449,2.040408122440814,0.35714285714285715,0.0,0.19387755102040816,0.0,0.0
2,20,0.4,random,7,7,14,7,mlp_table,True,True,11,11,14,9.354199937661178e-05,,1.0739297063983217,2.3108778609736635,1.5201571829826228,0.3673469387755102,0.6224489795918368,0.09183673469387756,0.0,1.5738201141357422
2,20,0.4,random,7,7,14,7,unet,True,True,11,11,19,0.00011379100033082068,,1.4765104681861645,3.684199120374933,1.9194267686929172,0.12244897959183673,0.8775510204081632,0.0,0.14285714285714285,4.938512802124023
