seed,map_size,obstacle_rate,map_mode,structured_type,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
2,20,0.1,structured,maze_like,random,4,6,7,5,unet,True,True,4,4,5,4.025000089313835e-05,,11.17040625682899,226.55355439295153,15.051696063665101,0.7285714285714285,0.26785714285714285,0.675,0.017857142857142856,4.447624206542969
0,20,0.1,structured,large_block,random,7,14,7,17,dijkstra,True,True,3,3,20,4.9250000301981345e-05,,13.173333333333334,215.92533333333333,14.694398025551552,0.9973333333333333,0.0,0.936,0.0,0.0
0,20,0.1,structured,large_block,random,7,14,7,17,manhattan,True,True,3,3,4,1.3374999980442226e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.1,structured,large_block,random,7,14,7,17,mlp_table,True,True,3,3,4,3.9791000745026395e-05,,1.1302317447662353,2.129174265327828,1.4591690324728757,0.005333333333333333,0.992,0.0,0.06133333333333333,4.910266876220703
0,20,0.1,structured,large_block,random,7,14,7,17,unet,True,True,3,3,4,3.599999763537198e-05,,0.8927592536608379,1.802400375770137,1.3425350556950597,0.3333333333333333,0.6666666666666666,0.0,0.058666666666666666,5.431648254394531
1,20,0.1,structured,large_block,random,19,1,18,10,dijkstra,True,True,10,10,54,0.00010858300083782524,,14.02127659574468,235.96808510638297,15.361252719305902,0.9973404255319149,0.0,0.9468085106382979,0.0,0.0
1,20,0.1,structured,large_block,random,19,1,18,10,manhattan,True,True,10,10,20,4.479099879972637e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20,0.1,structured,large_block,random,19,1,18,10,mlp_table,True,True,10,10,11,7.837500015739352e-05,,1.1694569086774866,2.1602791304011464,1.4697888046930914,0.005319148936170213,0.9920212765957447,0.0,0.05851063829787234,4.507303237915039
1,20,0.1,structured,large_block,random,19,1,18,10,unet,True,True,10,10,12,8.783400335232727e-05,,1.2659215651294018,2.926669133032779,1.7107510435574134,0.32180851063829785,0.675531914893617,0.0,0.07712765957446809,6.637813568115234
2,20,0.1,structured,large_block,random,4,1,6,12,dijkstra,True,True,15,15,167,0.00036766600169357844,,11.291666666666666,152.58333333333334,12.352462642458521,0.9973958333333334,0.0,0.9427083333333334,0.0,0.0
2,20,0.1,structured,large_block,random,4,1,6,12,manhattan,True,True,15,15,41,0.00010275000022375025,,0.14583333333333334,0.2916666666666667,0.5400617248673217,0.07291666666666667,0.0,0.0,0.0,0.0
2,20,0.1,structured,large_block,random,4,1,6,12,mlp_table,True,True,15,15,30,0.00018995799837284721,,0.8625344752023617,1.1212802200985372,1.0589051988249643,0.046875,0.9505208333333334,0.0,0.010416666666666666,3.573324203491211
2,20,0.1,structured,large_block,random,4,1,6,12,unet,True,True,15,15,32,0.00022166700000525452,,0.802310815701882,1.1629335342662763,1.0783939606035804,0.4505208333333333,0.5494791666666666,0.0,0.0234375,4.549226760864258
0,20,0.2,structured,narrow_corridor,random,10,13,18,13,dijkstra,True,True,8,8,82,0.00017250000018975697,,15.580487804878048,290.59512195121954,17.04685079277752,0.9951219512195122,0.0,0.9512195121951219,0.0,0.0
0,20,0.2,structured,narrow_corridor,random,10,13,18,13,manhattan,True,True,8,8,9,2.537500040489249e-05,,1.3658536585365855,13.112195121951219,3.6210765142359556,0.1902439024390244,0.0,0.14634146341463414,0.0,0.0
0,20,0.2,structured,narrow_corridor,random,10,13,18,13,mlp_table,True,True,8,8,9,6.708299770252779e-05,,1.9886776092575817,10.28453245187926,3.2069506469353812,0.1951219512195122,0.8,0.14634146341463414,0.05853658536585366,4.320276260375977
0,20,0.2,structured,narrow_corridor,random,10,13,18,13,unet,True,False,8,12,14,0.00010699999984353781,,3.883687561895789,24.638494858488887,4.963717846381771,0.2048780487804878,0.7902439024390244,0.06341463414634146,0.526829268292683,14.219522476196289
1,20,0.2,structured,narrow_corridor,random,2,17,8,3,dijkstra,True,True,20,20,131,0.0002756670000962913,,12.529126213592233,204.13106796116506,14.287444416730553,0.9951456310679612,0.0,0.9029126213592233,0.0,0.0
1,20,0.2,structured,narrow_corridor,random,2,17,8,3,manhattan,True,True,20,20,46,0.00012608299948624335,,0.7572815533980582,1.5145631067961165,1.2306758739798698,0.3786407766990291,0.0,0.0,0.0,0.0
