seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
14,20,0.1,random,6,9,12,14,manhattan,True,True,11,11,37,9.591600064595696e-05,,0.3114754098360656,1.0819672131147542,1.0401765297846102,0.11475409836065574,0.0,0.0273224043715847,0.0,0.0
14,20,0.1,random,6,9,12,14,mlp_table,True,True,11,11,13,0.00010333399950468447,,0.9274776392295713,1.5074218812964626,1.2277711029733769,0.08743169398907104,0.9098360655737705,0.01092896174863388,0.02459016393442623,4.184774398803711
14,20,0.1,random,6,9,12,14,unet,True,True,11,11,27,0.00017491700054961257,,0.7325811438221749,1.1306176586371377,1.0633050637691601,0.5027322404371585,0.4972677595628415,0.02185792349726776,0.0,2.8490238189697266
15,20,0.1,random,16,0,3,12,dijkstra,True,True,25,25,312,0.0007099169997673016,,12.645945945945947,197.64594594594595,14.058660887365694,0.9972972972972973,0.0,0.9432432432432433,0.0,0.0
15,20,0.1,random,16,0,3,12,manhattan,True,True,25,25,148,0.00039150000156951137,,0.12972972972972974,0.34594594594594597,0.5881716976750462,0.05405405405405406,0.0,0.010810810810810811,0.0,0.0
15,20,0.1,random,16,0,3,12,mlp_table,True,True,25,25,75,0.0004166670005361084,,0.9128752115610483,1.228397109864635,1.1083307763770862,0.021621621621621623,0.9756756756756757,0.0,0.005405405405405406,3.200124740600586
15,20,0.1,random,16,0,3,12,unet,True,True,25,25,116,0.0006507500002044253,,0.6882047503381162,0.8979816505930837,0.9476189374390339,0.4135135135135135,0.5864864864864865,0.0,0.010810810810810811,3.2977561950683594
16,20,0.1,random,16,14,8,3,dijkstra,True,True,19,19,277,0.000578791999942041,,12.260623229461757,185.42776203966005,13.617186274691996,0.9971671388101983,0.0,0.9291784702549575,0.0,0.0
16,20,0.1,random,16,14,8,3,manhattan,True,True,19,19,85,0.00020737500017276034,,0.15864022662889518,0.31728045325779036,0.563276533558598,0.07932011331444759,0.0,0.0,0.0,0.0
16,20,0.1,random,16,14,8,3,mlp_table,True,True,19,19,25,0.00017558299987285864,,0.9495803431816209,1.4668333566078604,1.2111289595282,0.039660056657223795,0.9575070821529745,0.0,0.0339943342776204,3.9508190155029297
16,20,0.1,random,16,14,8,3,unet,True,True,19,19,54,0.00032545800058869645,,0.6476016590218706,0.7622086732091278,0.8730456306569134,0.5439093484419264,0.45609065155807366,0.0028328611898017,0.0,2.9817161560058594
17,20,0.1,random,6,8,5,15,dijkstra,True,True,8,8,107,0.00023112499911803752,,12.46814404432133,192.83379501385042,13.88646085271011,0.997229916897507,0.0,0.9445983379501385,0.0,0.0
17,20,0.1,random,6,8,5,15,manhattan,True,True,8,8,16,4.450000051292591e-05,,0.07756232686980609,0.15512465373961218,0.39385867229199384,0.038781163434903045,0.0,0.0,0.0,0.0
17,20,0.1,random,6,8,5,15,mlp_table,True,True,8,8,9,8.437500036961865e-05,,1.029891569858773,1.6551610597660311,1.2865306291596912,0.027700831024930747,0.9695290858725761,0.0,0.0332409972299169,3.7599239349365234
17,20,0.1,random,6,8,5,15,unet,True,True,8,8,10,8.404100117331836e-05,,0.5788955373116808,0.6084351748844605,0.7800225476769633,0.5512465373961218,0.4487534626038781,0.0,0.0,2.7703990936279297
18,20,0.1,random,18,0,15,7,dijkstra,True,True,10,10,63,0.00012879200039606076,,12.002717391304348,177.2038043478261,13.311791928505572,0.9972826086956522,0.0,0.9347826086956522,0.0,0.0
18,20,0.1,random,18,0,15,7,manhattan,True,True,10,10,27,6.883300011395477e-05,,0.1793478260869565,0.358695652173913,0.5989120571285178,0.08967391304347826,0.0,0.0,0.0,0.0
18,20,0.1,random,18,0,15,7,mlp_table,True,True,10,10,11,9.05840006453218e-05,,0.8525888122942137,1.047341561492535,1.0233970693198877,0.02717391304347826,0.970108695652174,0.0,0.0,2.8199901580810547
18,20,0.1,random,18,0,15,7,unet,True,True,10,10,25,0.0001467910005885642,,0.656240848419459,0.6744980942467074,0.8212783293419518,0.6168478260869565,0.38315217391304346,0.0,0.0,2.1086959838867188
19,20,0.1,random,8,4,9,18,dijkstra,True,True,17,17,286,0.0006020829987392062,,14.03072625698324,236.4608938547486,15.377284996212712,0.9972067039106145,0.0,0.9497206703910615,0.0,0.0
19,20,0.1,random,8,4,9,18,manhattan,True,True,17,17,51,0.00012770799912686925,,0.22346368715083798,0.5139664804469274,0.7169145558899801,0.10335195530726257,0.0,0.008379888268156424,0.0,0.0
19,20,0.1,random,8,4,9,18,mlp_table,True,True,17,17,18,0.00015574999997625127,,0.9967286073961737,1.4574784637014802,1.2072607273085132,0.030726256983240222,0.9664804469273743,0.0,0.013966480446927373,3.3351573944091797
19,20,0.1,random,8,4,9,18,unet,True,True,17,17,18,0.00013441599912766833,,0.677300202696683,0.7289591896354277,0.8537910690768719,0.6368715083798883,0.36312849162011174,0.0,0.002793296089385475,3.2472095489501953
