seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
13,20,0.1,unet,True,True,38,38,228,0.001309666999077308,1.557490517033471,4.5290492828259294,2.1281563107126154,0.44722222222222224,0.5527777777777778,0.002777777777777778,0.14444444444444443,7.883331298828125
14,20,0.1,dijkstra,True,True,38,38,366,0.0008735419996810379,19.049180327868854,430.5027322404372,20.74855976303987,0.9972677595628415,0.0,0.9726775956284153,0.0,0.0
14,20,0.1,manhattan,True,True,38,38,352,0.0009996249991672812,0.060109289617486336,0.12021857923497267,0.3467255099282034,0.030054644808743168,0.0,0.0,0.0,0.0
14,20,0.1,mlp_table,True,True,38,38,149,0.0007524590000684839,1.111488334793862,2.2779900578142516,1.5093011819429054,0.040983606557377046,0.9562841530054644,0.0,0.07650273224043716,4.437534332275391
14,20,0.1,unet,True,True,38,38,178,0.001226791999215493,1.8749699218025624,6.79291674564429,2.6063224561907705,0.3907103825136612,0.6092896174863388,0.00819672131147541,0.2103825136612022,9.355621337890625
15,20,0.1,dijkstra,True,True,38,38,370,0.0008176250012184028,18.85135135135135,419.7648648648649,20.488164018888195,0.9972972972972973,0.0,0.972972972972973,0.0,0.0
15,20,0.1,manhattan,True,True,38,38,294,0.0008265830001619179,0.10270270270270271,0.20540540540540542,0.4532167311622613,0.051351351351351354,0.0,0.0,0.0,0.0
15,20,0.1,mlp_table,True,True,38,38,123,0.0006639999992330559,1.1160869434073164,2.2959384704054906,1.5152354504846732,0.03783783783783784,0.9594594594594594,0.0,0.08108108108108109,4.694330215454102
15,20,0.1,unet,True,True,38,38,195,0.0011495830003696028,1.6077797960590672,4.765437664260812,2.1829882418970588,0.5027027027027027,0.4972972972972973,0.010810810810810811,0.12432432432432433,7.942617416381836
16,20,0.1,dijkstra,True,True,38,38,353,0.0007334170004469343,20.569405099150142,479.91218130311614,21.90689803014375,0.9971671388101983,0.0,0.9858356940509915,0.0,0.0
16,20,0.1,manhattan,True,True,38,38,297,0.0006976249987928895,1.3994334277620397,7.0594900849858355,2.656970094861031,0.41076487252124644,0.0,0.1274787535410765,0.0,0.0
16,20,0.1,mlp_table,True,True,38,38,133,0.0006868330001452705,1.1407648622145397,3.387068155930566,1.8403989121738162,0.3342776203966006,0.6628895184135978,0.08498583569405099,0.0056657223796034,3.396686553955078
16,20,0.1,unet,True,True,38,38,142,0.0007777090013405541,2.1096260213311604,7.94842430163342,2.8192950008173,0.37393767705382436,0.6260623229461756,0.0339943342776204,0.20396600566572237,10.083101272583008
17,20,0.1,dijkstra,True,True,38,38,362,0.0007904580015747342,19.582872928176794,445.207182320442,21.099933230236584,0.9972375690607734,0.0,0.9861878453038674,0.0,0.0
17,20,0.1,manhattan,True,True,38,38,330,0.0007944159988255706,0.5248618784530387,1.7348066298342542,1.3171205828754837,0.20165745856353592,0.0,0.03867403314917127,0.0,0.0
17,20,0.1,mlp_table,True,True,38,38,147,0.0007595420011057286,0.7272536155268632,0.8874478442722544,0.9420445022780264,0.11049723756906077,0.8867403314917127,0.0027624309392265192,0.0,2.6943302154541016
17,20,0.1,unet,True,True,38,38,212,0.0012383750017761486,1.7423252604942954,5.842721945425743,2.4171723036278863,0.2845303867403315,0.7154696132596685,0.0055248618784530384,0.19613259668508287,7.794139862060547
18,20,0.1,dijkstra,True,True,38,38,368,0.0007682499999646097,19.432065217391305,440.5951086956522,20.990357517099422,0.9972826086956522,0.0,0.9836956521739131,0.0,0.0
18,20,0.1,manhattan,True,True,38,38,367,0.0008214170011342503,0.29347826086956524,0.9782608695652174,0.9890707100936805,0.10054347826086957,0.0,0.043478260869565216,0.0,0.0
18,20,0.1,mlp_table,True,True,38,38,150,0.0007489580002584262,0.9627836207332818,1.6431076670178923,1.2818376133574378,0.07880434782608696,0.9184782608695652,0.0,0.03260869565217391,3.9410762786865234
18,20,0.1,unet,True,True,38,38,163,0.0009446249987377087,2.461711384356022,12.031964875315156,3.4687122791196097,0.19293478260869565,0.8070652173913043,0.002717391304347826,0.27717391304347827,10.49923324584961
19,20,0.1,dijkstra,True,True,38,38,358,0.0007701670001551975,19.56145251396648,449.0418994413408,21.190608755798895,0.9972067039106145,0.0,0.9720670391061452,0.0,0.0
19,20,0.1,manhattan,True,True,38,38,353,0.0007932080006867182,0.43575418994413406,1.3631284916201116,1.1675309381854133,0.1564245810055866,0.0,0.061452513966480445,0.0,0.0
19,20,0.1,mlp_table,True,True,38,38,140,0.0006917080008861376,0.8481501990190431,1.514899609158523,1.2308125808418287,0.13966480446927373,0.8575418994413407,0.0,0.0446927374301676,4.910266876220703
19,20,0.1,unet,True,True,38,38,227,0.0012576659992191708,1.4332941607390035,3.691929646596828,1.9214394725301207,0.5614525139664804,0.43854748603351956,0.00558659217877095,0.08659217877094973,8.682352066040039
0,20,0.2,dijkstra,True,True,38,38,327,0.0006577919994015247,19.33639143730887,444.0091743119266,21.071525201368946,0.9969418960244648,0.0,0.9755351681957186,0.0,0.0
0,20,0.2,manhattan,True,True,38,38,271,0.0006136250012787059,0.15902140672782875,0.39143730886850153,0.6256495096046201,0.07033639143730887,0.0,0.009174311926605505,0.0,0.0
0,20,0.2,mlp_table,True,True,38,38,131,0.0006629170002270257,1.1642624037710534,2.5333092749167934,1.5916372937691532,0.07951070336391437,0.9174311926605505,0.009174311926605505,0.0764525993883792,5.396686553955078
0,20,0.2,unet,True,True,38,38,138,0.0007260000002133893,4.381465499189651,34.42545742405119,5.867321145467597,0.07339449541284404,0.926605504587156,0.0030581039755351682,0.47706422018348627,16.627525329589844
1,20,0.2,dijkstra,True,True,38,38,320,0.0006516249995911494,19.94375,462.4875,21.50552254654604,0.996875,0.0,0.98125,0.0,0.0
1,20,0.2,manhattan,True,True,38,38,276,0.0006329160005407175,0.9625,4.975,2.2304708023195463,0.24375,0.0,0.128125,0.0,0.0
1,20,0.2,mlp_table,True,True,38,38,180,0.0008832500006974442,1.07906299456954,2.4116446306003594,1.5529470791370708,0.234375,0.7625,0.05625,0.01875,3.4921436309814453
1,20,0.2,unet,True,True,38,38,188,0.0009182909998344257,6.85123725682497,66.13418393812172,8.132292661858752,0.01875,0.98125,0.0,0.809375,17.072612762451172
2,20,0.2,dijkstra,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.2,manhattan,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.2,mlp_table,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.2,unet,False,False,-1,-1,0,0.0,,,,,,,,
3,20,0.2,dijkstra,True,True,38,38,325,0.000655874999210937,19.233846153846155,439.91076923076923,20.974049900550185,0.9969230769230769,0.0,0.9723076923076923,0.0,0.0
3,20,0.2,manhattan,True,True,38,38,280,0.0006432499994843965,0.38153846153846155,1.083076923076923,1.0407098169407853,0.15076923076923077,0.0,0.04,0.0,0.0
3,20,0.2,mlp_table,True,True,38,38,143,0.0007269580000865972,0.8770444000684298,1.5102363526672382,1.2289167395178724,0.09538461538461539,0.9015384615384615,0.003076923076923077,0.04,4.667055130004883
3,20,0.2,unet,True,True,38,38,172,0.0009796670001378516,2.543066407717191,16.255564651679464,4.03181902516463,0.2523076923076923,0.7476923076923077,0.009230769230769232,0.26461538461538464,13.960927963256836
