scope,map_size,structure_type,algorithm,cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_astar_search_seconds,mean_total_runtime_seconds,mean_expanded_nodes_saved_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_runtime_overhead_seconds_vs_manhattan,total_runtime_overhead_fraction_vs_manhattan,total_runtime_multiplier_vs_manhattan,astar_search_overhead_seconds_vs_manhattan,astar_search_multiplier_vs_manhattan
map_size_structure,1000,bottleneck,region_cache_patch_32,100,120528.15,40703.0,1.0,0.0,0.4283754513284657,1.6183730699883017,49723.92000000001,0.29206058992410494,1.2579512782990059,3.4902198127449293,4.49021981274493,0.06795365963916994,1.1885392648448678
map_size_structure,1000,bottleneck,region_cache_patch_64,100,123043.37,45358.0,1.0,0.0,0.4269809188434738,1.4838521670391491,47208.70000000001,0.2772870837928726,1.1234303753498533,3.116987932622883,4.116987932622883,0.066559127154178,1.1846700967835924
map_size_structure,1000,large_block,manhattan_astar,100,96485.17,58111.5,1.0,0.0,0.21766085249080788,0.21766085249080788,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,1000,large_block,full_map_unet_tiebreak,100,50823.73,27284.0,1.0,0.0,0.27697208334022433,1.0989046046396833,45661.439999999995,0.47324827224743443,0.8812437521488754,4.048701188405442,5.048701188405442,0.059311230849416446,1.2724937910087495
map_size_structure,1000,large_block,region_cache_patch_32,100,14788.12,1419.5,1.0,0.0,0.04888917919801315,0.3050070112690446,81697.05,0.8467316790756548,0.08734615877823673,0.4012947564005589,1.401294756400559,-0.16877167329279474,0.2246117234153432
map_size_structure,1000,large_block,region_cache_patch_64,100,24905.54,8181.0,1.0,0.0,0.07844937542598927,0.3739788137405412,71579.63,0.7418718337750766,0.15631796124973332,0.7181721446962304,1.7181721446962304,-0.13921147706481862,0.360420234177399
map_size_structure,1000,maze_like,manhattan_astar,100,109.82,4.0,1.0,0.0,0.00018612041982123627,0.00018612041982123627,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,1000,maze_like,full_map_unet_tiebreak,100,104.25,3.0,1.0,0.0,0.000517460389964981,0.4777992379707575,5.569999999999993,0.050719358951010686,0.4776131175509363,2566.151086536722,2567.151086536722,0.0003313399701437447,2.78024512550524
map_size_structure,1000,maze_like,region_cache_patch_32,100,107.78,3.0,1.0,0.0,0.0002932908295770176,0.00486961709902971,2.039999999999992,0.018575851393188784,0.004683496679208474,25.163798167373834,26.163798167373834,0.0001071704097557813,1.575812207272666
map_size_structure,1000,maze_like,region_cache_patch_64,100,108.17,3.0,1.0,0.0,0.00029800873031490485,0.009893463790067471,1.6499999999999915,0.015024585685667379,0.009707343370246235,52.15625120322574,53.15625120322574,0.00011188831049366857,1.6011608538232094
map_size_structure,1000,narrow_corridor,manhattan_astar,100,81729.46,53913.5,1.0,0.0,0.18548513576955883,0.18548513576955883,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,1000,narrow_corridor,full_map_unet_tiebreak,100,50356.38,20617.0,1.0,0.0,0.2202897116704844,1.0514426304309745,31373.08000000001,0.38386501024232883,0.8659574946614157,4.668608571078468,5.668608571078468,0.03480457590092556,1.1876407818692583
map_size_structure,1000,narrow_corridor,region_cache_patch_32,100,45452.38,12403.5,1.0,0.0,0.1528349478187738,0.6805748337095429,36277.08000000001,0.44386785377023175,0.49508969793998403,2.669161040241352,3.669161040241352,-0.03265018795078503,0.8239741000521538
map_size_structure,1000,narrow_corridor,region_cache_patch_64,100,44846.86,12470.0,1.0,0.0,0.1456131304592418,0.635071961239737,36882.600000000006,0.4512766877451534,0.44958682547017814,2.423842878864058,3.423842878864058,-0.03987200531031704,0.7850393502158964
map_size_structure,1000,open_random,manhattan_astar,100,60716.33,28639.5,1.0,0.0,0.12235526286036474,0.12235526286036474,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,1000,open_random,full_map_unet_tiebreak,100,46891.21,19074.5,1.0,0.0,0.21061887457981357,1.3962676008687414,13825.120000000003,0.2277001920241227,1.2739123380083766,10.411585968820981,11.411585968820983,0.08826361171944883,1.7213715998483672
map_size_structure,1000,open_random,region_cache_patch_32,100,43078.01,16216.5,1.0,0.0,0.15320874356097192,0.8368897025710612,17638.32,0.2905037244510661,0.7145344397106965,5.839834127332498,6.839834127332497,0.030853480700607172,1.2521630862402546
map_size_structure,1000,open_random,region_cache_patch_64,100,45925.49,20528.5,1.0,0.0,0.1551493763945473,0.821896111699607,14790.840000000004,0.24360563294915888,0.6995408488392423,5.717292681047794,6.717292681047793,0.032794113534182545,1.268023726708087
