case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds
size100_bottleneck_seed120460784,100,bottleneck,120460784,0.1,5b712d52df7adbe643fd02d4754aa6412c7430d117cf5bdffc120901d60d90c0,"84,37","84,74",57,manhattan_astar,True,57,0,True,629,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0009076250134967268,0.0009076250134967268
size100_bottleneck_seed120460785,100,bottleneck,120460785,0.2,37b105cb220bcda820f1d854639d5dc2f949e9204932d4b78f825899b187e19f,"97,53","82,33",47,manhattan_astar,True,47,0,True,287,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0004194999928586185,0.0004194999928586185
size100_bottleneck_seed120460786,100,bottleneck,120460786,0.3,64ac6a4bbf120d20beeffa773a55db5104edce8d33fffe7283dadd867dced158,"11,72","83,10",160,manhattan_astar,True,160,0,True,3665,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.005311415996402502,0.005311415996402502
size100_bottleneck_seed120460787,100,bottleneck,120460787,0.4,3a382bf425c8ffe7dac2515185431ca8435ae7d7a0ad49cb656713cf21261e4e,"46,64","43,99",40,manhattan_astar,True,40,0,True,196,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00028983299853280187,0.00028983299853280187
size100_bottleneck_seed120460788,100,bottleneck,120460788,0.1,9c974577c2e61a2f7e0044913f62ce2764ff2c842509582633266ff090b9f0e2,"75,68","99,17",169,manhattan_astar,True,169,0,True,5371,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.007942708005430177,0.007942708005430177
size100_bottleneck_seed120460789,100,bottleneck,120460789,0.2,d36619b5f90928f58c3dfa0c7e09a6efdfba6423a476751cb7732f74d0b82c21,"90,11","81,43",41,manhattan_astar,True,41,0,True,310,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0004987919965060428,0.0004987919965060428
size100_bottleneck_seed120460790,100,bottleneck,120460790,0.3,09163678621f92ef921fdd82533d4cd095ccecf62b60a31a240cc56b391867e3,"66,59","41,58",28,manhattan_astar,True,28,0,True,103,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00017358300101477653,0.00017358300101477653
size100_bottleneck_seed120460791,100,bottleneck,120460791,0.4,ca0db85b632634a862c9e1a98227ce59bec1132717a5589ced5e1cb7c011e0ae,"48,62","76,40",74,manhattan_astar,True,74,0,True,1318,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0019464170036371797,0.0019464170036371797
size100_bottleneck_seed120460792,100,bottleneck,120460792,0.1,9400689d055b722b748763660e22aa6941aa2924c074d69576baa626a9af714d,"3,19","77,33",88,manhattan_astar,True,88,0,True,1120,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.001703208006802015,0.001703208006802015
size100_bottleneck_seed120460793,100,bottleneck,120460793,0.2,fa3d5ace9a04e7920ac8fa8280b3f8ee270ae5b421288c46050e35b3d68beb0e,"56,30","50,2",34,manhattan_astar,True,34,0,True,173,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.000255750012001954,0.000255750012001954
