model,index,map_type,obstacle_rate,mae,mse,expanded_nodes,optimal,tie_top1_correct,tie_top1_total,high_impact_events,high_impact_unet_ordering_errors
expanded,4671,narrow_corridor,0.3,0.37448916206218924,0.21525109944585938,9,True,8,8,0,0
expanded,4672,narrow_corridor,0.3,0.4455755772849022,0.4245550420687785,7,True,5,5,0,0
expanded,4673,narrow_corridor,0.3,0.5478047531813823,0.5092149590197376,8,True,7,7,0,0
expanded,4674,narrow_corridor,0.3,0.47762715031461017,0.32963163555478875,8,True,6,6,0,0
expanded,4675,narrow_corridor,0.4,0.41678913192051215,0.26106200751642833,11,True,10,10,0,0
expanded,4676,narrow_corridor,0.4,0.5155160946421103,0.4314324390168896,8,True,0,0,0,0
expanded,4677,narrow_corridor,0.4,0.8529994095767941,1.5678941876017956,6,True,5,5,0,0
expanded,4678,narrow_corridor,0.4,0.5204992760526072,0.537076443989504,8,True,0,0,0,0
expanded,4679,narrow_corridor,0.4,0.9260151783625284,1.3586711126940516,10,True,9,9,0,0
expanded,4680,narrow_corridor,0.4,0.523487001657486,0.40496235350455223,5,True,4,4,0,0
expanded,4681,narrow_corridor,0.4,0.31210063243734426,0.1550838020399252,5,True,4,4,0,0
expanded,4682,narrow_corridor,0.4,0.46941204925081625,0.3692875617758479,9,True,8,8,0,0
expanded,4683,narrow_corridor,0.4,0.5841219657659531,0.5553345913009836,13,True,10,10,0,0
expanded,4684,narrow_corridor,0.4,0.5069460319768032,0.38585774969931214,9,True,8,8,0,0
expanded,4685,narrow_corridor,0.4,0.43873138185860455,0.34774904404913565,8,True,7,7,0,0
expanded,4686,narrow_corridor,0.4,0.4027275543534354,0.22020791426346747,6,True,5,5,0,0
expanded,4687,narrow_corridor,0.4,1.0286033779087633,1.7331069647494972,7,True,6,6,0,0
expanded,4688,narrow_corridor,0.4,0.3420478819310665,0.19889276139490858,12,True,11,11,0,0
expanded,4689,narrow_corridor,0.4,0.4774319745746313,0.36536245545564805,7,True,0,0,0,0
expanded,4690,narrow_corridor,0.4,0.35808377224823523,0.2807665267034057,5,True,0,0,0,0
expanded,4691,narrow_corridor,0.4,0.5626243358762394,0.49328354101530336,12,True,11,11,0,0
expanded,4692,narrow_corridor,0.4,0.48971840546498846,0.3767271280618067,10,True,9,9,0,0
expanded,4693,narrow_corridor,0.4,0.6108709000959629,0.5551558323494675,9,True,0,0,0,0
expanded,4694,narrow_corridor,0.4,0.3411136287815717,0.184376317068343,5,True,4,4,0,0
expanded,4695,narrow_corridor,0.4,0.6096298640424554,0.561395141534623,8,True,7,7,0,0
expanded,4696,narrow_corridor,0.4,0.3090097014539935,0.16425190618928348,10,True,9,9,0,0
expanded,4697,narrow_corridor,0.4,0.649490148431123,0.9474042838543301,7,True,5,5,0,0
expanded,4698,narrow_corridor,0.4,0.31917288285844464,0.18508894661422567,9,True,5,5,0,0
expanded,4699,narrow_corridor,0.4,0.7000130495429039,0.8616880762588504,8,True,0,0,0,0
expanded,4700,bottleneck,0.1,0.6537824142576837,0.6493429701377464,9,True,8,8,0,0
expanded,4701,bottleneck,0.1,0.5145091943050686,0.5215174213121415,8,True,7,7,0,0
expanded,4702,bottleneck,0.1,0.457419875114763,0.35097814445514625,9,True,8,8,0,0
expanded,4703,bottleneck,0.1,0.4876955912735972,0.39191135073620004,9,True,8,8,0,0
expanded,4704,bottleneck,0.1,0.3941824108362198,0.28755180001863223,10,True,9,9,0,0
expanded,4705,bottleneck,0.1,0.39146769862425956,0.27090632031101536,8,True,7,7,0,0
expanded,4706,bottleneck,0.1,0.7073020474116007,1.171015279011453,9,True,7,7,0,0
expanded,4707,bottleneck,0.1,0.32610127705288683,0.18054483845134572,10,True,0,0,0,0
expanded,4708,bottleneck,0.1,0.4756378234214983,0.4188747286427834,10,True,9,9,0,0
expanded,4709,bottleneck,0.1,0.3572543766937758,0.2195973398199691,9,True,8,8,0,0
expanded,4710,bottleneck,0.1,0.4942717298747986,0.3713026412702731,8,True,7,7,0,0
expanded,4711,bottleneck,0.1,0.8965537382057555,1.712574707553566,11,True,10,10,0,0
expanded,4712,bottleneck,0.1,0.4385663968952079,0.33787008629252374,8,True,7,7,0,0
expanded,4713,bottleneck,0.1,0.3341531531973035,0.1928590816381854,11,True,8,9,0,0
expanded,4714,bottleneck,0.1,0.477551920633567,0.3950335248234635,10,True,9,9,0,0
expanded,4715,bottleneck,0.1,0.32381439193298944,0.1864423735231394,8,True,7,7,0,0
expanded,4716,bottleneck,0.1,0.7323489802448373,1.1726056268711151,9,True,8,8,0,0
expanded,4717,bottleneck,0.1,0.5996822061992827,0.6087824043674414,16,True,14,15,0,0
expanded,4718,bottleneck,0.1,0.5454132400807881,0.48662061389192635,11,True,10,10,0,0
expanded,4719,bottleneck,0.1,0.3784547512638223,0.3528527730046575,10,True,8,8,0,0
expanded,4720,bottleneck,0.1,0.3138845891625397,0.18537127907405782,10,True,9,9,0,0
expanded,4721,bottleneck,0.1,0.5344626627470318,0.5986626044757157,8,True,7,7,0,0
expanded,4722,bottleneck,0.1,0.4201980498975688,0.2788450121068326,8,True,0,0,0,0
expanded,4723,bottleneck,0.1,0.48094099696981846,0.3758704723282799,11,True,10,10,0,0
expanded,4724,bottleneck,0.1,0.5559325048128764,0.43474446184888077,11,True,0,0,0,0
expanded,4725,bottleneck,0.2,1.2494454497986651,3.6604450092797003,9,True,8,8,0,0
expanded,4726,bottleneck,0.2,0.5029676838587689,0.43461487533903526,9,True,8,8,0,0
expanded,4727,bottleneck,0.2,0.31853550922839347,0.1695453896469259,9,True,8,8,0,0
